id,Decision_Date,Employer,City_State,Case_Status,Job_Title,Wage_Offer
A-16158-18450,2016-09-22,Intel Corporation,"Folsom, CA",Certified,"Electronics Engineers, Except Computer, Level II","86,174.00/Year"
A-16176-25715,2016-09-22,Altisource,"Boston, MA",Certified,"Software Developers, Applications, Level II","93,517.00/Year"
A-16189-29990,2016-09-22,"American Megatrends Inc.,","Norcross, GA",Certified,"Network and Computer Systems Administrators, Level I","108,975.10/Year"
A-16197-33149,2016-09-22,Bionew Usa Corp.,"Suwanee, GA",Certified,"Materials Engineers, Level II","65,000.00/Year"
A-15306-34914,2016-09-21,Foxconn Assembly Llc,"Houston, TX",Certified,"Industrial Engineering Technician, Level III","72,883.00/Year"
A-16022-63919,2016-09-21,"Pinterest, Inc.","San Francisco, CA",Certified,"Software Developers, Applications, Level II","120,000.00/Year"
A-16129-06982,2016-09-21,Hitachi Global Storage Technologies,"Santa Ana, CA",Certified,"Electronics Engineers, Except Computers, Level II","84,926.00/Year"
A-16160-19665,2016-09-21,"Siliconware Usa, Inc.","San Jose, CA",Denied,"Materials Engineers, Level II","105,539.00/Year"
A-16162-20494,2016-09-21,"Analog Bits, Inc.","Sunnyvale, CA",Certified,"Electronics Engineers, Except Computer, Level II","120,000.00/Year"
A-16167-22122,2016-09-21,Bank Of America,"Seattle, WA",Certified,"Financial Analysts, Level II","94,000.00/Year"
A-16020-63280,2016-09-20,Microsoft Corporation,"Redmond, WA",Certified,"Software Developers, Applications, Level II","124,190.00/Year"
A-16116-01500,2016-09-20,"Specialtycare, Inc","Fremont, CA",Certified,"Surgical Neurophysiologist, Level IV","90,000.00/Year"
A-16139-11806,2016-09-20,"A&w Group, Inc.","South El Monte, CA",Certified,"Market Research Analysts and Marketing Specialists, Level I","39,354.00/Year"
A-16154-17032,2016-09-20,Amazon Corporate Llc,"Seattle, WA",Certified,"Software Developers, Applications, Level II","101,088.00/Year"
A-16169-23239,2016-09-20,Apple Inc.,"Cupertino, CA",Certified,"Software Developers, Systems Software, Level III","140,000.00/Year"
A-16174-24666,2016-09-20,"Allied Telesis, Inc.","San Jose, CA",Certified,"Computer Occupations, All Other, Level I","78,000.00/Year"
A-16174-24941,2016-09-20,Intel Corporation,"Hillsboro, OR",Certified,"Materials Engineers, Level III","88,275.00/Year"
A-16188-29839,2016-09-20,Alexander Gorlin,"New York, NY",Certified,"Architects, Except Landscape and Naval, Level I","63,000.00/Year"
A-16158-18413,2016-09-19,Intel Corporation,"Hillsboro, OR",Certified,"Materials Engineers, Level III","88,275.00/Year"
A-16199-33372,2016-09-19,Advanced Industrial Computer Inc,"Fremont, CA",Certified,"Sales Managers, Level II","120,000.00/Year"
A-16161-20020,2016-09-16,"Aaeon Electronics, Inc.","Orange, CA",Certified,"Computer Systems Sales Manager, Level I","90,000.00/Year"
A-16103-96305,2016-09-15,Intel Corporation,"Hillsboro, OR",Certified,"Materials Engineers, Level III","88,275.00/Year"
A-16140-12468,2016-09-15,Mediatek Usa Inc.,"Woburn, MA",Certified,"Electronics Engineers, Except Computer, Level III","145,371.00/Year"
A-16169-23312,2016-09-15,"Area Electronics Systems, Inc.","Anaheim, CA",Certified,"Logisticians, Level II","67,309.00/Year"
A-15180-92344,2016-09-14,"Cisco Systems, Inc.","San Jose, CA",Certified,"Software Developers, Systems Software","102,619.00/Year"
A-16033-68293,2016-09-14,Ahi Ahi Sushi Bar & Grill Lp,"FOOTHILL RANCH, CA",Certified,"KITCHEN HELPER, Level IV","26,000.00/Year"
A-16042-71998,2016-09-14,Ahi Ahi Sushi Bar & Grill Lp,"FOOTHILL RANCH, CA",Certified,"KITCHEN HELPER, Level IV","26,000.00/Year"
A-16161-20247,2016-09-14,Mitsumi Electronics Corp.,"Cupertino, CA",Certified,"Market Research Analysts and Marketing Specialists*, Level I","60,445.00/Year"
A-16162-20352,2016-09-14,"Metropolitan Industries, Inc","Edmonston, MD",Certified,"Mechanical Engineer, Level II","91,395.00/Year"
A-16118-02623,2016-09-13,"C.o. Enterprises, Llc.","Los Angeles, CA",Certified,"Graphic Designers, Level I","33,904.00/Year"
A-16161-20239,2016-09-13,Braganza Tea,"Vancouver, WA",Certified,"General and Operations Managers, Level II","79,227.00/Year"
A-16084-88999,2016-09-12,Ase (u.s.) Inc.,"Sunnyvale, CA",Certified,"Materials Scientists, Level II","87,963.00/Year"
A-16159-18690,2016-09-12,Palitex Inc.,"New York, NY",Certified,"Accountant, Level II","76,066.00/Year"
A-15324-42010,2016-09-09,Bucknell University,"Lewisburg, PA",Certified,"Economics Teachers, Postsecondary, Level I","80,000.00/Year"
A-16132-08216,2016-09-09,Dell Products Lp,"Austin, TX",Certified,Financial Managers,"89,800.00/Year"
A-16132-08375,2016-09-09,Bloomberg L.p.,"New York, NY",Certified,"Software Developers, Applications, Level II","95,000.00/Year"
A-16157-18001,2016-09-09,Intel Corporation,"Hillsboro, OR",Certified,"Electronics Engineers, Except Computer, Level III","104,582.00/Year"
A-16161-20097,2016-09-09,Dalton Investments Llc,"Santa Monica, CA",Certified,"Financial Analysts, Level IV","125,000.00/Year"
A-15329-43851,2016-09-08,G.b.t Inc.,"City of Industry, CA",Denied,"Market Research Analyst and Marketing Specialist, Level I","40,000.00/Year"
A-16018-62243,2016-09-08,Earth Circles Counseling Center,"Oakland, CA",Certified,"Marriage and Family Therapists, Level I","44,262.00/Year"
A-16133-09097,2016-09-08,"Cisco Systems, Inc.","San Jose, CA",Certified,"Software Developers, Systems Software","117,730.00/Year"
A-16153-16787,2016-09-08,"Muy Hamburger Partners, Llc","DAYTON, OH",Certified,"Combined Food Preparation and Serving Workers, Including Fast Fo, Level I",8.63/Hour
A-16153-16833,2016-09-08,"Pure Beauty Farms, Inc","Miami, FL",Certified,"Farmworkers and Laborers, Crop, Nursery and Greenhouse, Level I","17,909.00/Year"
A-16180-26738,2016-09-08,Danfoss,"Freeport, IL",Certified,"Industrial Engineer (int title Quality Engineer), Level II","62,130.00/Year"
A-16127-06629,2016-09-07,Evga Corporation,"Brea, CA",Certified,"Marketing Analyst, Level I","39,800.00/Year"
A-16127-06770,2016-09-07,Voa Associates Incorporated,"New York, NY",Certified,"Architects, Except Landscape and Naval, Level II","77,500.00/Year"
A-16130-07258,2016-09-07,"Kee Interface Technology, Inc.","Brea, CA",Certified,"Statisticians, Level I","60,320.00/Year"
A-16137-10342,2016-09-07,Depaul University,"Chicago, IL",Certified,"Mathematical Science Teachers, Postsecondary, Level I","67,000.00/Year"
A-16153-16845,2016-09-07,Intel Corporation,"Santa Clara, CA",Certified,"Industrial Engineers, Level II","96,866.00/Year"
A-16139-11845,2016-09-06,Pro-lite. Inc.,"Costa Mesa, CA",Certified,"Software Developers, Systems Software, Level II","98,634.00/Year"
A-16139-11864,2016-09-06,Mediatek Usa Inc.,"San Jose, CA",Certified,"Sales Engineers, Level I","80,475.00/Year"
A-16113-01027,2016-09-02,Ruckus Wireless Inc,"Sunnyvale, CA",Certified,"Software Developers, Systems Software, Level II","119,350.00/Year"
A-16117-02183,2016-09-02,Jing Gastroenterology & Hepatology Pc,"Flushing, NY",Certified,"PR Specialist, Level II","54,954.00/Year"
A-16139-11710,2016-09-02,Google Inc.,"Mountain View, CA",Certified,"Software Developers, Applications","99,939.00/Year"
A-16154-16892,2016-09-02,Lam Research Corporation,"Fremont, CA",Certified,"Materials Engineers, Level IV","126,235.00/Year"
A-16159-18894,2016-09-02,Moody's Analytics,"New York, NY",Certified,"Sales Engineers, Level IV","130,437.00/Year"
A-16175-25088,2016-09-02,Svi Group Inc.,"San Jose, CA",Certified,"Accountants, Level III","92,955.00/Year"
A-16179-26529,2016-09-02,Emotion Studios,"Sausalito, CA",Certified,"Film and Video Editors, Level III","67,808.00/Year"
A-16133-09360,2016-09-01,Lawrence Berkeley National Laboratory,"Walnut Creek, CA",Certified,"Biochemists and Biophysicists, Level II","72,301.00/Year"
A-16161-19747,2016-09-01,Industrial And Commercial Bank Of China Limited,"New York, NY",Certified,"Credit Analysts, Level I","64,085.00/Year"
A-16137-10607,2016-08-31,Maya Whole Health Renton Llc,"Renton, WA",Certified,"Naturopath & East Asian Acupuncture Medicine Practitioner, Level IV","90,792.00/Year"
A-16138-11326,2016-08-31,Mediatek Usa Inc.,"San Jose, CA",Certified,"Sales Engineers, Level III","133,078.00/Year"
A-16145-14059,2016-08-31,"Qualcomm Atheros, Inc.","SAN DIEGO, CA",Certified,"Software Developers, Systems Software, Level II","102,461.00/Year"
A-16152-16097,2016-08-31,"Muy Hamburger Partners, Llc","MORAINE, OH",Certified,"Combined Food Preparation and Serving Workers, Including Fast Fo, Level I",8.63/Hour
A-16159-19089,2016-08-31,"Super Micro Computer, Inc.","SAN JOSE, CA",Certified,"Systems Engineer, Level I","77,389.00/Year"
A-16165-21281,2016-08-31,Hp Inc.,"Palo Alto, CA",Certified,Marketing Managers,"109,066.00/Year"
A-16173-24175,2016-08-31,Loyola University Chicago,"Chicago, IL",Certified,"Chemistry Teacher, Postsecondary, Level I","73,000.00/Year"
A-16238-46314,2016-08-31,"Mcginnis Chen Associates, Inc","SAN FRANCISCO, CA",Denied,"ARCHITECTURAL DRAFTER, Level I","49,400.00/Year"
A-16015-61677,2016-08-30,"Creative Baby, Inc.","City of Industry, CA",Certified,"Human Resources Specialists, Level II","53,394.00/Year"
A-16146-14638,2016-08-30,"Qualcomm Atheros, Inc.","Tempe, AZ",Certified,"Electronics Engineers, Except Computer, Level IV","111,114.00/Year"
A-16166-21772,2016-08-30,"Skyworks Solutions, Inc.","Newbury Park, CA",Certified,"Electronics Engineers, Except Computer, Level I","74,263.00/Year"
A-14358-37793,2016-08-29,Acme Furniture Industry Inc.,"City of Industry, CA",Denied,"Market Research Analyst and Marketing Specialist, Level I","38,459.00/Year"
A-16081-86799,2016-08-29,"Shareablee, Inc.","NEW YORK, NY",Certified,"PRODUCT MARKETING ANALYST, Level I","50,000.00/Year"
A-16153-16810,2016-08-29,Seagate Us Llc,"Fremont, CA",Certified,"Electronics Engineers, Except Computer, Level III","107,037.00/Year"
A-16158-18415,2016-08-29,"Super Micro Computer, Inc.","San Jose, CA",Certified,"Sr. Product Manager, Level II","112,360.00/Year"
A-16165-21154,2016-08-29,Rgb Systems Dba Extron Electronics,"Anaheim, CA",Certified,"Software Developers, Applications, Level I","70,138.00/Year"
A-16196-32685,2016-08-29,"Yourpeople, Inc. D/b/a Zenefits","San Francisco, CA",Denied,"Software Developers, Applications, Level II","160,000.00/Year"
A-15307-35580,2016-08-26,"Muy Pizza Houston, Llc","NEW CANEY, TX",Certified,"COOKS, FAST FOOD, Level I","16,744.00/Year"
A-16064-80425,2016-08-26,University Of Mary Hardin-baylor,"Belton, TX",Certified,"Computer Science Teachers, Postsecondary, Level I","83,505.29/Year"
A-16137-10708,2016-08-26,Nasdaq Inc,"New York, NY",Certified,"Public Relations Specialists, Level IV","90,000.00/Year"
A-16139-11786,2016-08-26,O'neil Langan Architects,"New York, NY",Certified,"Interior Designers, Level II","52,749.00/Year"
A-16159-18815,2016-08-26,"Defender Services, Inc.","Gastonia, NC",Certified,"Packers and Packagers, Level I",8.20/Hour
A-16159-18910,2016-08-26,"Defender Services, Inc.","Hendersonville, NC",Certified,"Packers and Packagers, Level I",8.20/Hour
A-16169-22913,2016-08-26,"Pagebites, Inc","Palo Alto, CA",Certified,"Software Developers, Systems Software, Level I","120,000.00/Year"
A-16011-59352,2016-08-25,"Defender Services, Inc.","Anderson, SC",Certified,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners, Level I",8.12/Hour
A-16146-14740,2016-08-25,Cleaners Of America Corporation,"MEMPHIS, TN",Certified,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners, Level I",9.00/Hour
A-16160-19695,2016-08-25,"Siliconware Usa, Inc.","San Jose, CA",Certified,"Materials Engineers, Level II","105,539.00/Year"
A-16160-19699,2016-08-25,"Siliconware Usa, Inc.","San Jose, CA",Certified,"Electronics Engineers, Except Computer, Level I","87,422.00/Year"
A-15284-27144,2016-08-24,Persio Inc.,"Chicago, IL",Certified,"Marketing Managers, Level I","97,000.00/Year"
A-15356-53555,2016-08-24,"Tgc, Llc","Orlando, FL",Certified,"Reporters and Correspondents, Level II","42,000.00/Year"
A-16083-88451,2016-08-24,Apple Inc.,"Cupertino, CA",Certified,"Software Developers, Systems Software","140,650.00/Year"
A-16124-05320,2016-08-24,Hitachi Global Storage Technologies,"Santa Ana, CA",Certified,"Electronics Engineers, Except Computer, Level IV","123,677.00/Year"
A-16158-18440,2016-08-24,"Super Micro Computer, Inc.","San Jose, CA",Certified,"Design Engineer, Level III","130,562.00/Year"
A-16162-20384,2016-08-24,Yes Logistics Corp.,"Pasadena, CA",Certified,"Customer Service Manager, Level II","92,500.00/Year"
A-16165-21068,2016-08-24,"Southern California University, S.o.m.a.","Los Angeles, CA",Certified,"Secretaries and Administrative Assistants, Except Legal, Medical, Level III","38,459.00/Year"
A-16165-21243,2016-08-24,"Spirit Manufacturing, Inc.","Jonesboro, AR",Certified,"Accountants and Auditors, Level III","61,277.00/Year"
A-16125-05775,2016-08-23,Adobe Systems Incorporated,"Seattle, WA",Certified,"Software Developers, Applications, Level II","101,088.00/Year"
A-16126-06157,2016-08-23,Veex Inc.,"Fremont, CA",Certified,"Accountants and Auditors, Level II","67,746.00/Year"
A-16140-12237,2016-08-23,Google Inc.,"Palo Alto, CA",Certified,"Software Developers, Applications, Level II","120,349.00/Year"
A-16152-16204,2016-08-23,U.s. Bank National Association,"Bloomington, MN",Certified,"Financial Analysts, Level III","102,500.00/Year"
A-16018-62278,2016-08-22,Ahi Ahi Sushi Bar & Grill Lp,"FOOTHILL RANCH, CA",Certified,"KITCHEN HELPER, Level IV","26,000.00/Year"
A-16068-81739,2016-08-22,"Sushi Oka,n Llc","Vail, CO",Certified,"Head Cook/Chinese & Sushi, Level III","60,174.00/Year"
A-16134-10127,2016-08-22,Yahoo! Inc.,"Sunnyvale, CA",Certified,"Statisticians, Level I","105,000.00/Year"
A-16154-17047,2016-08-22,University Of Massachusetts Medical School,"Shrewsbury, MA",Certified,"Survey Researchers, Level II","73,000.00/Year"
A-16158-18058,2016-08-22,Trinet Hr Corporation,"San Leandro, CA",Certified,"Compensation and Benefits Managers, Level II","95,451.00/Year"
A-16228-42162,2016-08-22,"Aruze Gaming America, Inc.","LAS VEGAS, NV",Denied,"CHIEF EXECUTIVE, Level I","110,000.00/Year"
A-15287-28265,2016-08-19,University Of The West,"Rosemead, CA",Certified,"Librarian, Level I","56,160.00/Year"
A-16015-61737,2016-08-19,Ahi Ahi Sushi Bar & Grill Lp,"FOOTHILL RANCH, CA",Certified,"KITCHEN HELPER, Level IV","26,000.00/Year"
A-16101-95199,2016-08-18,National Instruments,"Santa Clara, CA",Certified,"Sales Engineers, Level II","106,766.00/Year"
A-16131-08109,2016-08-18,Hitachi Global Storage Technologies,"Santa Ana, CA",Certified,"Electronics Engineers, Except Computers, Level II","84,926.00/Year"
A-16077-85570,2016-08-17,Dell Products Lp,"Austin, TX",Certified,"Software Developers, Applications","82,672.00/Year"
A-16088-89965,2016-08-17,Exa Corporation,"Burlington, MA",Certified,"Mechanical Engineers, Level III","93,525.00/Year"
A-16111-99990,2016-08-17,"Qualcomm Atheros, Inc.","San Jose, CA",Certified,"Software Developers, Systems Software, Level III","146,890.00/Year"
A-16116-01664,2016-08-17,Strike Industries,"Santa Ana, CA",Certified,"Accountants and Auditors, Level II","61,859.00/Year"
A-16043-72746,2016-08-16,Briggs & Veselka Co,"Houston, TX",Certified,"Accountants and Auditors, Level II","66,144.00/Year"
A-16050-74937,2016-08-16,Bloomberg L.p.,"New York, NY",Certified,"Software Developers, Applications, Level II","95,000.00/Year"
A-16064-80426,2016-08-16,Zylux America Inc,"Irvine, CA",Certified,"Project & Quality Assurance Engineer, Level I","58,219.00/Year"
A-16112-00150,2016-08-16,"Dow Jones & Company, Inc.","South Brunswick, NJ",Certified,"Computer Occupations, All Other, Level I","53,518.00/Year"
A-16112-00602,2016-08-16,Testing Corp,"Yonkers, NY",Certified,"Junior Electrical Engineer, Level I","70,990.00/Year"
A-16113-00893,2016-08-16,Bionew Usa Corp.,"Suwanee, GA",Certified,"Chemists, Level I","50,000.00/Year"
A-16118-02682,2016-08-15,Symantec Corporation,"Mountain View, CA",Certified,"Sales Managers, Level II","121,826.00/Year"
A-16130-07126,2016-08-15,"Seqgen, Inc.","Torrance, CA",Certified,"Biomedical Engineer, Level II","76,586.00/Year"
A-16130-07343,2016-08-15,"Applied Materials, Inc.","Santa Clara, CA",Certified,"Materials Engineers, Level III","127,192.00/Year"
A-15329-43590,2016-08-12,Presidio Knolls School,"San Francisco, CA",Certified,"Preschool Teachers, Except Special Education, Level IV","57,624.00/Year"
A-16110-99300,2016-08-12,"Muy Hamburger Partners, Llc","WACO, TX",Certified,"Combined Food Preparation and Serving Workers, Including Fast Fo, Level I",8.09/Hour
A-16110-99306,2016-08-12,"Muy Hamburger Partners, Llc","WACO, TX",Certified,"Combined Food Preparation and Serving Workers, Including Fast Fo, Level I",8.09/Hour
A-16118-02836,2016-08-12,"Nan Ya Plastics Corporation, Usa","WHARTON, TX",Certified,"Management Analysts, Level I","49,462.00/Year"
A-16128-06950,2016-08-12,Gromax Enterprise Corporation,"Irvine, CA",Certified,"Mechanical Engineer, Level II","79,768.00/Year"
A-16130-07352,2016-08-12,Muy Pizza Tejas Llc,"Del Rio, TX",Certified,"COOKS, FAST FOOD, Level I","16,827.00/Year"
A-16133-09341,2016-08-12,Cherisse S. Loo Dds,"ESCONDIDO, CA",Certified,"Translator, Level I","34,798.00/Year"
A-16020-63264,2016-08-11,"Design Tec, Inc.","Newport Beach, CA",Denied,"Market Research Analyst and Marketing Specialist, Level II","56,285.00/Year"
A-16130-07280,2016-08-11,"Seqgen, Inc.","Torrance, CA",Certified,"Biomedical Engineer, Level II","76,586.00/Year"
A-16078-86172,2016-08-10,University Of Virginia,"Charlottesville, VA",Certified,"Physics Teachers, Postsecondary, Level I","88,000.00/Year"
A-16116-01648,2016-08-10,Metal Trading Corp.,"New York, NY",Certified,"Market Research Analyst and Marketing Specialists, Level I","45,906.00/Year"
A-16137-10305,2016-08-10,University Of Florida,"Gainesville, FL",Certified,"Architecture Teachers, Postsecondary, Level I","60,809.01/Year"
A-16139-11825,2016-08-10,"Muy Hamburger Partners, Llc","WOODWAY, TX",Certified,"Combined Food Preparation and Serving Workers, Including Fast Fo, Level I",8.09/Hour
A-16123-04737,2016-08-09,Amazon Corporate Llc,"Seattle, WA",Certified,"Software Developers, Applications, Level II","101,088.00/Year"
A-16132-08735,2016-08-09,Legend Footwear Inc.,"City of Industry, CA",Certified,"Market Research Analysts and Marketing Specialists, Level I","39,354.00/Year"
A-16144-13287,2016-08-09,Dow Agrosciences Llc,"Indianpolis, IN",Certified,"Soil and Plant Scientists, Level I","97,272.00/Year"
A-15314-37804,2016-08-08,Proliance Surgeons,"Lynwood, WA",Certified,"Occupational Therapist, Level III","83,283.00/Year"
A-16058-77734,2016-08-08,Standard Temecula Llc,"Arcadia, CA",Certified,"Management Analysts, Level I","56,035.00/Year"
A-16075-84498,2016-08-08,Google Inc.,"Mountain View, CA",Certified,"Software Developers, Applications, Level II","120,349.00/Year"
A-16096-93101,2016-08-08,Texas Instruments Incorporated,"Dallas, TX",Certified,"Lawyers, Level IV","225,000.00/Year"
A-16130-07390,2016-08-08,University Of Washington,"Seattle, WA",Certified,"Biochemists and Biophysicists, Level II","60,336.00/Year"
A-16139-11668,2016-08-08,Mckesson Corporation,"Emeryville, CA",Certified,"Software Developers, Applications, Level I","79,498.00/Year"
A-15337-46151,2016-08-05,New York City Department Of Education,"Brooklyn, NY",Certified,"Elementary School Teachers, Except Special Education","49,908.00/Year"
A-16039-70359,2016-08-05,Microsoft Corporation,"Redmond, WA",Certified,"Comp. and Info. Research Scientists, Level I","114,200.00/Year"
A-16079-86620,2016-08-05,"Expedia, Inc.","Bellevue, WA",Certified,"Market Research Analysts & Marketing Specialists, Level I","110,000.00/Year"
A-16118-02953,2016-08-05,"Oracle America, Inc.","Santa Clara, CA",Certified,"Electronics Engineers, Except Computer, Level III","135,000.00/Year"
A-16119-03090,2016-08-05,"Acutus Medical, Inc.","Carlsbad, CA",Certified,"Industrial Engineers, Level III","96,429.00/Year"
A-16123-04711,2016-08-05,"Qualcomm Atheros, Inc.","SAN DIEGO, CA",Certified,"Software Developers, Systems Software, Level III","144,269.00/Year"
A-16126-06093,2016-08-05,"Oracle America, Inc.","Redwood Shores, CA",Certified,"Software Developers , Systems Software, Level II","114,000.00/Year"
A-16126-06151,2016-08-05,Amazon Corporate Llc,"Seattle, WA",Certified,"Software Developers, Applications, Level II","101,088.00/Year"
A-16132-08716,2016-08-05,Nvidia Corporation,"Santa Clara, CA",Certified,Computer and Information Research Scientists,"155,000.00/Year"
A-15121-72685,2016-08-04,China Taipei Inc.,"Centennial, CO",Certified,"Cook - Chinese Style Food, Level IV","26,520.00/Year"
A-16110-98934,2016-08-04,Pricewaterhousecoopers Advisory Services Llc,"Los Angeles, CA",Certified,"Computer Systems Analysts, Level II","83,500.00/Year"
A-16111-99708,2016-08-04,"Qualcomm Atheros, Inc.","San Jose, CA",Certified,"Software Developers, System Software","114,338.00/Year"
A-16113-00907,2016-08-04,"Oracle America, Inc.","Redwood Shores, CA",Certified,"Software Developers, Systems Software, Level II","122,304.00/Year"
A-16146-14739,2016-08-04,Hp Inc.,"Houston, TX",Certified,"Market Research Analysts and Marketing Specialists, Level II","91,998.00/Year"
A-16081-87265,2016-08-03,Intel Corporation,"Hillsboro, OR",Certified,"Materials Engineers, Level III","88,275.00/Year"
A-16102-95493,2016-08-03,"University Of California, Davis","Davis, CA",Certified,"Veterinarian, Level III","154,589.00/Year"
A-16128-06955,2016-08-03,"Pure Beauty Farms, Inc","Miami, FL",Certified,"Farmworkers and Laborers, Crop, Nursery and Greenhouse, Level I","17,909.00/Year"
A-16128-06956,2016-08-03,"Pure Beauty Farms, Inc","Miami, FL",Certified,"Farmworkers and Laborers, Crop, Nursery and Greenhouse, Level I","17,909.00/Year"
A-16115-01198,2016-08-02,"Super Micro Computer, Inc.","San Jose, CA",Certified,"BIOS Manager, Level I","130,000.00/Year"
A-16116-01339,2016-08-02,"American Megatrends Inc.,","Norcross, GA",Certified,"Network and Computer Systems Administrators, Level I","70,000.00/Year"
A-16127-06920,2016-08-02,Oyler Wu Collaborative Llc,"Los Angeles, CA",Certified,"Architects, Level II","73,174.00/Year"
A-15362-54862,2016-08-01,Muy Pizza Southeast Llc,"BURLINGTON, NC",Certified,"COOKS, FAST FOOD, Level I","16,640.00/Year"
A-16040-70841,2016-08-01,Houston Fruitland Inc.,"Willis, TX",Certified,"Soil and Plant Scientists, Level II","58,240.00/Year"
A-16102-95765,2016-08-01,Chunghwa Precision Test Tech Usa Corp.,"Santa Clara, CA",Certified,"Electronics Engineers, Except Computer, Level I","87,422.00/Year"
A-16104-96899,2016-08-01,Tsmc North America,"San Jose, CA",Certified,"Materials Engineers, Level II","105,539.00/Year"
A-16132-08443,2016-08-01,T H Sunglass Corporation,"La Verne, CA",Certified,"Market Research Analysts and Marketing Specialists, Level I","39,354.00/Year"
A-15337-46043,2016-07-29,"Kmk Consulting, Inc.","Morristown, NJ",Certified,"Analyst, Level I","84,178.00/Year"
A-16105-97018,2016-07-29,H. Lee Moffitt Cancer Center & Research Institute,"Tampa, FL",Certified,"Biological Scientists, All Other, Level I","96,324.80/Year"
A-16106-98145,2016-07-29,"Seville Classics, Inc.","Torrance, CA",Certified,"Industrial Designer, Level I","42,162.00/Year"
A-16117-01812,2016-07-29,"American Megatrends Inc.,","Norcross, GA",Certified,"Network and Computer Systems Administrators, Level I","70,000.00/Year"
A-16117-01968,2016-07-29,Taiwan Mission Foundation Inc.,"Jamaica Estates, NY",Certified,"Rehabilitation Counselors, Level I","25,646.00/Year"
A-16134-09927,2016-07-29,Graphsql Inc.,"Kent, OH",Certified,"Software Developers, Systems Software, Level II","90,000.00/Year"
A-15346-49979,2016-07-28,Blue Ribbon Couture Inc.,"NEW YORK, NY",Certified,"ASSISTANT FASHION DESIGNER, Level I","41,850.00/Year"
A-16068-81562,2016-07-28,"H2o Clinical, Llc","Hunt Valley, MD",Certified,"Statisticians, Level I","63,482.00/Year"
A-16068-81848,2016-07-28,"H2o Clinical, Llc","Hunt Valley, MD",Certified,"Budget Analysts, Level IV","91,770.00/Year"
A-16099-94765,2016-07-28,"Shapetools, Llc","Santa Monica, CA",Certified,"Mechanical Engineers, Level II","81,432.00/Year"
