Id,Decision Date,Employer,"City, State",Case Status,Job Title,Wage Offer
A-16255-51514,2016-12-05,Asus Computer International,"Basking Ridge, NJ",Certified,"Sales Managers, Level I","88,800.00/Year"
A-16254-51505,2016-12-05,Chiao Hsin Chinese Language School,"Monterey Park, CA",Certified,"Instructional Coordinators, Level II","58,531.00/Year"
A-16253-51448,2016-12-05,"Muy Hamburger Partners, Llc","Buffalo, NY",Certified,"Combined Food Preparation and Serving Workers, Including Fast Fo, Level I",9.75/Hour
A-16160-19665,2016-12-05,"Siliconware Usa, Inc.","San Jose, CA",Denied,"Materials Engineers, Level II","105,539.00/Year"
A-16243-47809,2016-12-02,Google Inc.,"Mountain View, CA",Certified,"Software Developers, Applications","99,939.00/Year"
A-16253-51271,2016-12-02,Jeditron Technologies Corp,"Fremont, CA",Certified,"Database Administrators, Level II","76,898.00/Year"
A-16259-53191,2016-12-01,Transperfect Translations International Inc.,"New York, NY",Certified,"Sales Engineers, Level I","65,270.00/Year"
A-16265-54649,2016-12-01,"Information Resources, Inc.","Chicago, IL",Certified,"Statisticians, Level I","90,000.00/Year"
A-16260-53399,2016-12-01,"Tc International, Inc.","Whittier, CA",Certified,"Commercial and Industrial Designers, Level II","57,075.00/Year"
A-16322-72247,2016-12-01,"Asian Kitchen, Inc. Dba Asian Kitchen","Elizabeth, CO",Withdrawn,"restaurant cook, Level IV","26,354.00/Year"
A-16244-48092,2016-11-30,Mediatek Usa Inc.,"Austin, TX",Certified,"Electronics Engineers, Except Computer, Level III","137,000.00/Year"
A-16242-47577,2016-11-30,General Transworld Corp,"Carson, CA",Certified,"Market Research Analysts and Marketing Specialists, Level I","39,354.00/Year"
A-16263-53840,2016-11-30,"Microassist, Inc.","Austin, TX",Certified,"Training and Development Specialists, Level II","48,339.00/Year"
A-16261-53688,2016-11-30,Royole Corporation,"Fremont, CA",Certified,"Device Engineer, Level II","92,581.00/Year"
A-16053-75587,2016-11-30,Piko Fashion Corporation,"Los Angeles, CA",Certified,"Market Research Analyst, Level I","39,354.00/Year"
A-16320-71435,2016-11-29,Amazon Corporate Llc,"Seattle, WA",Withdrawn,"Financial Managers, Level II","100,000.00/Year"
A-16259-53026,2016-11-29,Michael Lin,"Winters, CA",Certified,"Logisticians, Level I","56,347.00/Year"
A-16257-52144,2016-11-29,Yahoo! Inc.,"Sunnyvale, CA",Certified,"Network and Computer Systems Administrators, Level IV","130,000.00/Year"
A-16092-91957,2016-11-29,New York City Department Of Education,"Brooklyn, NY",Certified,"Clinical, Counseling, and School Psychologists","53,791.00/Year"
A-16250-49818,2016-11-29,"Logitech, Inc","Newark, CA",Certified,"Computer Occupations, All Other, Level IV","125,445.00/Year"
A-16242-47319,2016-11-29,"A10 Networks, Inc. (formerly Raksha Networks, Inc)","San Jose, CA",Certified,"Software Developers, Systems Software, Level II","132,300.00/Year"
A-16242-47310,2016-11-29,"Connor Group, Inc.","Santa Clara, CA",Certified,"Accountants and Auditors, Level IV","111,000.00/Year"
A-16238-46624,2016-11-28,Cymer Llc,"San Diego, CA",Certified,Mechanical Engineers,"100,776.26/Year"
A-16257-51959,2016-11-23,"Drvision Technologies, Llc","BELLEVUE, WA",Certified,"ALGORITHM ENGINEER 1, Level II","77,917.00/Year"
A-16197-33174,2016-11-23,West Chester University Of Pennsylvania,"West Chester, PA",Certified,"Business Teachers, Postsecondary","79,765.76/Year"
A-16251-50460,2016-11-23,Millennia Stainless Inc.,"Santa Fe Springs, CA",Certified,"Staff Accountant, Level I","47,300.00/Year"
A-16230-43472,2016-11-22,Marvell Semiconductor Inc,"Santa Clara, CA",Certified,"Electronics Engineers, Except Computer","111,000.00/Year"
A-16246-49493,2016-11-22,Foxconn Honhai Logistics Ca Llc,"Cupertino, CA",Certified,"Cost Estimators, Level II","61,838.00/Year"
A-16245-48819,2016-11-22,Prosys Data Technology Company,"Walnut, CA",Certified,"Public Relations Specialists, Level I","40,747.00/Year"
A-14339-31531,2016-11-21,Qualcomm Technologies Inc.,"San Diego, CA",Certified,"Electronics Engineers, Except Computer, Level II","119,476.00/Year"
A-16250-49733,2016-11-21,"Nsg Technology, Inc.","Houston, TX",Certified,"Financial Managers, Level II","116,397.00/Year"
A-16196-32599,2016-11-21,"Machine Zone, Inc","Palo Alto, CA",Certified,"Software Developers, Applications, Level II","150,000.00/Year"
A-16112-00248,2016-11-21,"Dentca, Inc.","LOS ANGELES, CA",Certified,"CHEMICAL ENGINEERS, Level I","48,984.00/Year"
A-16083-88487,2016-11-21,International School Of The Peninsula,"Palo Alto, CA",Certified,"Elementary School Teachers, Except Special Education, Level II","61,800.00/Year"
A-16055-76516,2016-11-21,Dyscientific Inc,"Santa Monica, CA",Certified,"Operations Research Analysts, Level I","90,000.00/Year"
A-16053-75198,2016-11-21,Doral Capital Corporation,"Philadelphia, PA",Certified,"Credit Analyst, Level III","77,022.00/Year"
A-15306-34814,2016-11-18,"Ds+b,ltd.","Minneapolis, MN",Denied,"Accountants and Auditors, Level III","70,013.00/Year"
A-16113-00766,2016-11-18,Caro Home Llc,"New York, NY",Certified,"Assistant Designer, Level I","48,422.00/Year"
A-16232-44460,2016-11-18,Apple Inc.,"Cupertino, CA",Certified,"Software Developers, Systems Software","130,000.00/Year"
A-16228-42578,2016-11-18,Bizlink Tech Inc,"El Paso, TX",Certified,"Accountants and Auditors, Level II","47,486.00/Year"
A-16228-42483,2016-11-18,"Atoptech, Inc.","Santa Clara, CA",Certified,"Electronics Engineers, Except Computer, Level II","108,805.00/Year"
A-16227-42154,2016-11-18,Mediatek Usa Inc.,"San Jose, CA",Certified,"Electronics Engineers, Except Computer, Level I","100,000.00/Year"
A-16227-42152,2016-11-18,Mediatek Usa Inc.,"San Jose, CA",Certified,"Electronics Engineers, Except Computer, Level II","109,658.00/Year"
A-16245-49003,2016-11-18,Lam Research Corporation,"Tualatin, OR",Certified,"Mechanical Engineers, Level II","90,000.00/Year"
A-16217-39439,2016-11-18,Worldwide Orchids Llc,"Apopka, FL",Certified,"General and Operations Managers, Level I","65,000.00/Year"
A-16193-30926,2016-11-18,Mediatek Usa Inc.,"San Jose, CA",Certified,"Executive Secretary/Assistant, Level IV","75,254.00/Year"
A-16322-72596,2016-11-18,"Muy Pizza Houston, Llc","SUGAR LAND, TX",Withdrawn,"COOKS, FAST FOOD, Level I","16,994.00/Year"
A-16139-11454,2016-11-17,Salesforce.com,"San Francisco, CA",Certified,"Software Developers, Systems Software, Level II","145,000.00/Year"
A-16244-48414,2016-11-17,Showingtime.com,"Chicago, IL",Certified,"graphic designers, Level II","43,000.00/Year"
A-16321-71831,2016-11-17,"Nexgrill Industries, Inc.","Chino, CA",Withdrawn,"Marketing Specialist, Level II","45,677.00/Year"
A-16215-38292,2016-11-16,"Worldquant, Llc","Old Greenwich, CT",Certified,"Software Developers, Applications, Level II","120,000.00/Year"
A-16236-45571,2016-11-16,"Verifone, Inc.","San Jose, CA",Certified,"Mechanical Engineers, Level IV","130,000.00/Year"
A-16197-33283,2016-11-16,Apple Inc.,"Cupertino, CA",Certified,"Materials Engineers, Level II","136,000.00/Year"
A-16236-45303,2016-11-16,"Valentin & Kalich Jewelry Mfg., Ltd.","NEW YORK, NY",Certified,"Budget Analyst, Level I","55,000.00/Year"
A-16235-45047,2016-11-16,Amazon Corporate Llc,"Seattle, WA",Certified,"Software Developers, Systems Software, Level II","99,466.00/Year"
A-16181-27426,2016-11-16,"Fairchild Semiconductor International, Inc.","Sunnyvale, CA",Certified,"Electronics Engineers, Except Computer, Level III","130,562.00/Year"
A-16231-44075,2016-11-16,Marvell Semiconductor Inc,"Santa Clara, CA",Certified,"Electronics Engineers, Except Computer","89,200.00/Year"
A-16112-00243,2016-11-16,Muy Pizza Tejas Llc,"Robstown, TX",Certified,"COOKS, FAST FOOD, Level I","16,744.00/Year"
A-16123-04570,2016-11-15,"Baily International, Inc.","HOUSTON, TX",Certified,"MARKET RESEARCH ANALYST AND MARKETING SPECIALIST, Level I","37,378.00/Year"
A-16224-41256,2016-11-15,Cognex Corporation,"Natick, MA",Certified,"Software Developers, Systems Software, Level II","94,203.00/Year"
A-16222-40381,2016-11-15,"Zt Group Int'l, Inc.","Seacaucus, NJ",Certified,"Customer Operations Manager, Level III","130,208.00/Year"
A-16221-40044,2016-11-15,"Trinity Industries, Inc.","Dallas, TX",Certified,"Accountants and Auditors, Level III","79,492.08/Year"
A-16215-38357,2016-11-15,Ems-chemie (north America) Inc.,"SUMTER, SC",Certified,"MARKET RESEARCH ANALYSTS AND MARKETING SPE, Level IV","80,000.00/Year"
A-16029-67154,2016-11-15,"Conntek Integrated Solutions, Inc.","Cudahy, WI",Denied,"Electrical Engineer, Level II","73,000.00/Year"
A-16235-45099,2016-11-15,"Muy Hamburger Partners, Llc","Rochester, NY",Certified,"Combined Food Preparation and Serving Workers, Including Fast Fo, Level I",9.75/Hour
A-16201-33762,2016-11-15,Hope College,"Holland, MI",Certified,"Foreign Language and Literature Teachers, Postsecondary, Level I","55,000.00/Year"
A-16231-44007,2016-11-15,"Headway Technologies, Inc.","Milpitas, CA",Certified,Materials Engineer,"106,657.00/Year"
A-16211-37387,2016-11-14,State University Of New York College At Oneonta,"ONEONTA, NY",Certified,Business Teachers - Post Secondary,"90,000.00/Year"
A-16210-37091,2016-11-14,"Cienet Technologies, Inc","Santa Clara, CA",Certified,"Computer and Information Systems Managers, Level IV","213,803.00/Year"
A-16203-34838,2016-11-14,Ecolab Inc.,"Elk Grove Village, IL",Certified,"Accountants and Auditors, Level IV","88,462.00/Year"
A-16216-38897,2016-11-14,Ay Tech Llc,"Newark, DE",Certified,"Biomedical Engineers, Level II","75,500.00/Year"
A-16208-36066,2016-11-10,Intelligent Epitaxy Technology Inc.,"Richardson, TX",Certified,"Accountants and Auditors, Level I","53,000.00/Year"
A-16197-33235,2016-11-09,Velocify Inc.,"El Segundo, CA",Certified,"Software Developers, Applications, Level II","87,975.00/Year"
A-16172-23966,2016-11-09,Apple Inc.,"Cupertino, CA",Certified,"Electronics Engineers, Except Computer, Level IV","173,000.00/Year"
A-16117-02252,2016-11-08,Ericsson Inc.,"Plano, TX",Certified,"Computer Systems Analysts, Level II","121,800.00/Year"
A-16231-43624,2016-11-08,"Mckinsey & Company, Inc United States","New York, NY",Certified,"Statisticians, Level II","118,000.00/Year"
A-16238-46314,2016-11-08,"Mcginnis Chen Associates, Inc","SAN FRANCISCO, CA",Denied,"ARCHITECTURAL DRAFTER, Level I","49,400.00/Year"
A-16229-42769,2016-11-08,"Defender Services, Inc.","Hendersonville, NC",Certified,"Packers and Packagers, Level I",8.20/Hour
A-16222-40517,2016-11-08,"Defender Services, Inc.","Gastonia, NC",Certified,"Packers and Packagers, Level I",8.20/Hour
A-16233-44560,2016-11-07,Carnival Corporation,"Miami, FL",Certified,"Web Developers, Level IV","80,000.00/Year"
A-16236-45206,2016-11-04,D2 Nova Corp,"Santa Barbara, CA",Certified,"Software Developers, Applications, Level II","90,000.00/Year"
A-15280-25945,2016-11-04,Gm Veterinary Corp.,"Tracy, CA",Denied,"Veterinarians, Level I","82,368.00/Year"
A-16214-37694,2016-11-04,Jp Morgan Chase & Co,"New York, NY",Certified,"Statisticians, Level I","115,000.00/Year"
A-16209-36474,2016-11-03,Callisonrtkl Inc.,"Los Angeles, CA",Certified,"Architects, Except Landscape and Naval, Level I","57,574.00/Year"
A-16061-78776,2016-11-03,Americana Pacific Law Group,"San Diego, CA",Certified,"Market Research Analysts, Level I","37,000.00/Year"
A-16078-86396,2016-11-02,Muy Pizza Tejas Llc,"New Braunfel, TX",Certified,"COOKS, FAST FOOD, Level I","16,765.00/Year"
A-16028-66675,2016-11-02,"U.s. Technical Consultants, Inc.","Fullerton, CA",Certified,"Sr. Stress Engineer, Level II","93,912.00/Year"
A-16211-37446,2016-11-02,Apple Inc.,"Cupertino, CA",Certified,"Logisticians, Level II","110,000.00/Year"
A-16243-48040,2016-11-02,Fertility Institute Of Hawaii,"Honolulu, HI",Certified,"Medical and Clinical Laboratory Technologists, Level IV","73,382.00/Year"
A-16200-33538,2016-11-02,"Azimuth Industrial Company, Inc.","Union City, CA",Certified,"Materials Engineers, Level II","93,288.00/Year"
A-16228-42236,2016-11-02,Microsoft Corporation,"Mountain View, CA",Certified,"Software Developers, Applications, Level II","120,420.00/Year"
A-16227-42144,2016-11-02,"Farmer's Business Network, Inc.","San Carlos, CA",Certified,"Software Developers, Applications, Level II","110,000.00/Year"
A-16225-42077,2016-11-02,Avery Dennison Corporation,"Mentor, OH",Certified,"Materials Engineers, Level II","85,068.00/Year"
A-15306-34952,2016-11-02,"Defender Services, Inc.","Anderson, SC",Denied,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners, Level I",8.05/Hour
A-16238-46605,2016-11-02,"Cellmic, Llc","Los Angeles, CA",Certified,"Software Developers, Systems Software, Level II","101,000.00/Year"
A-16225-42036,2016-11-02,"Facebook, Inc.","Menlo Park, CA",Certified,"Software Developers, Systems Software, Level II","135,774.54/Year"
A-16174-25031,2016-11-02,"Demand Media, Inc.","Santa Monica, CA",Certified,"Software Developers, Applications, Level II","115,000.00/Year"
A-16221-40014,2016-11-02,Meritek Electronics Corporation,"Baldwin Park, CA",Certified,"Market Research Analysts and Marketing Specialists, Level I","39,354.00/Year"
A-16194-31707,2016-11-01,Chroma Ate Inc,"Irvine, CA",Certified,"Electrical Engineers, Level II","95,243.00/Year"
A-16193-31464,2016-11-01,Cpc Ardor Collection Inc,"South El Monte, CA",Certified,"First Line Supervisor (Wholesaler, International Trade), Level III","65,936.00/Year"
A-16193-31252,2016-11-01,"Facebook, Inc.","Menlo Park, CA",Certified,"Software Developers, Applications, Level II","117,603.00/Year"
A-16034-68544,2016-11-01,"Teachers College, Columbia University","New York, NY",Denied,"Social Science Research Assistants, Level IV","43,000.00/Year"
A-16133-09160,2016-11-01,Microsoft Corporation,"Redmond, WA",Certified,"Software Developers, Applications, Level II","126,500.00/Year"
A-16172-23949,2016-10-31,Apple Inc.,"Cupertino, CA",Certified,"Materials Engineers, Level IV","181,000.00/Year"
A-16092-92073,2016-10-31,"Amazon Web Services, Inc.","Seattle, WA",Certified,Computer and Information Systems Managers,"106,182.00/Year"
A-16197-33125,2016-10-31,"Wctu, Inc.","LOS ANGELES, CA",Certified,"GRAPHIC DESIGNERS, Level I","33,904.00/Year"
A-16235-45144,2016-10-28,"Formosa Plastics Corporation, Texas","Point Comfort, TX",Certified,"Mechanical Engineer, Level I","80,038.00/Year"
A-16235-44758,2016-10-28,Google Inc.,"Mountain View, CA",Certified,"Software Developers, Applications, Level I","98,342.00/Year"
A-16230-43503,2016-10-28,Google Inc.,"Mountain View, CA",Certified,"Software Developers, Applications","99,939.00/Year"
A-16071-83605,2016-10-28,National Recycling Corporation,"Oakland, CA",Denied,"Computer Systems Analysts, Level I","60,029.00/Year"
A-16099-94793,2016-10-28,"Suncore Photovoltaics, Inc.","Albuquerque, NM",Withdrawn,"Civil Engineers, Level II","70,200.00/Year"
A-16182-28307,2016-10-28,Google Inc.,"Mountain View, CA",Certified,"Software Developers, Applications","99,939.00/Year"
A-14069-50897,2016-10-27,Duke University And Medical Center,"Durham, NC",Certified,"Management Analysts, Level IV","105,102.00/Year"
A-16238-46647,2016-10-27,"Formosa Plastics Corporation, Texas","Point Comfort, TX",Certified,"Instrument Engineer, Level I","77,875.00/Year"
A-16053-75534,2016-10-27,Mlp Restaurant Inc,"Pikeville, KY",Certified,"Cooks, Restaurant, Level III","18,637.00/Year"
A-16231-44072,2016-10-27,Nvidia Corporation,"Santa Clara, CA",Certified,Marketing Managers,"141,924.00/Year"
A-16228-42379,2016-10-27,Tsmc North America,"San Diego, CA",Certified,"Materials Engineers, Level II","83,325.00/Year"
A-16133-08951,2016-10-27,Good Day Chiropractic & Rehab Pc,"Schaumburg, IL",Certified,"Health Diagnosing and Treating Practitioners, All Other, Level I","37,232.00/Year"
A-16064-80609,2016-10-27,Scientific Technology Electronics Products Inc.,"Chino, CA",Certified,"Purchasing Agent, Level I","38,189.00/Year"
A-16207-35586,2016-10-26,Intel Corporation,"Santa Clara, CA",Certified,"Software Developers, Systems Software","138,403.00/Year"
A-15323-41750,2016-10-26,"Fona International, Inc.","Geneva, IL",Denied,"Food Scientists & Technologists, Level IV","76,523.00/Year"
A-16167-21914,2016-10-25,Jeng Chi Foods Corp,"Richardson, TX",Certified,"Operations Research Analyst, Level II","74,152.00/Year"
A-16148-15659,2016-10-25,University Of Massachusetts Lowell,"Lowell, MA",Certified,"Health Specialties Teachers, Postsecondary","83,435.10/Year"
A-16246-49380,2016-10-25,Hilton Garden Inn New York Midtown / Park Avenue,"New York, NY",Withdrawn,"Accountants and Auditors, Level II","76,170.00/Year"
A-16197-33116,2016-10-25,Neutron Inc.,"STATE COLLEGE, PA",Certified,"Training and Development Specialists, Level II","48,000.00/Year"
A-16202-34583,2016-10-24,"Western Digital Technologies, Inc.","Milpitas, CA",Certified,"Electronics Engineers, Except Computer, Level IV","163,728.00/Year"
A-15352-52707,2016-10-24,Microsoft Corporation,"Redmond, WA",Certified,"Software Developers, Applications, Level II","105,000.00/Year"
A-14335-29743,2016-10-24,"Omnivision Technologies, Inc.","Santa Clara, CA",Certified,"Electronics Engineers, Except Computer, Level I","87,422.00/Year"
A-16169-22945,2016-10-24,University Of Central Florida,"Orlando, FL",Certified,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary, Level I","58,650.00/Year"
A-16223-41155,2016-10-24,Lg Chem Power Inc,"Troy, MI",Certified,"Electronics Engineers, Except Computer, Level II","73,278.00/Year"
A-16195-32489,2016-10-21,Muy Pizza Tejas Llc,"Boerne, TX",Certified,"COMBINED FOOD PREPARATION AND SERVING WORKERS, INCLUDING FAST FO, Level I","16,848.00/Year"
